no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
1,Graduate,1,9600000,29900000,18,478,9400000,Rejected,9400000,3.114583008897603,3.1808507254414122
4,Graduate,0,2200000,7800000,20,633,1900000,Approved,1900000,3.5454529338850302,4.1052609972310545
1,Not Graduate,1,8400000,30900000,8,378,11100000,Rejected,11100000,3.6785709906463104,2.7837835329924747
1,Not Graduate,0,2100000,5300000,20,461,1700000,Rejected,1700000,2.523808321996037,3.1176452249145736
2,Not Graduate,1,2800000,7000000,2,834,1300000,Approved,1300000,2.499999107143176,5.384611242606736
0,Not Graduate,0,2500000,5800000,20,671,2000000,Approved,2000000,2.319999072000371,2.899998550000725
3,Graduate,1,1700000,5800000,10,524,800000,Rejected,800000,3.4117626989631185,7.2499909375113285
3,Graduate,0,6100000,20700000,4,816,5900000,Approved,5900000,3.3934420666488414,3.5084739816145794
3,Graduate,0,4100000,11700000,10,729,2100000,Approved,2100000,2.8536578405712585,5.57142591836861
5,Not Graduate,1,4500000,12700000,8,307,2700000,Rejected,2700000,2.8222215950618676,4.703701961591866
2,Graduate,1,5600000,19100000,8,350,4200000,Rejected,4200000,3.410713676658272,4.547617964852866
3,Not Graduate,1,5800000,16600000,10,444,8500000,Rejected,8500000,2.86206847205716,1.9529409467128298
4,Not Graduate,0,8600000,26700000,10,895,6900000,Approved,6900000,3.1046508017847905,3.8695646565848323
2,Graduate,0,2900000,10500000,20,708,4300000,Approved,4300000,3.6206884066591702,2.4418598972418843
2,Not Graduate,1,8300000,17600000,2,355,6800000,Rejected,6800000,2.120481672231124,2.5882349134948655
5,Not Graduate,0,2400000,5100000,6,756,3400000,Approved,3400000,2.1249991145837024,1.4999995588236592
4,Graduate,0,5600000,12000000,4,719,3400000,Approved,3400000,2.14285676020415,3.529410726643904
1,Graduate,1,9500000,35400000,14,439,13500000,Rejected,13500000,3.7263153972299583,2.6222220279835535
4,Not Graduate,1,4900000,15900000,10,668,2800000,Approved,2800000,3.2448972969597354,5.678569400510928
4,Not Graduate,1,5900000,16500000,2,765,3500000,Approved,3500000,2.7966096954898823,4.714284367347323
5,Graduate,1,500000,1500000,4,476,700000,Approved,700000,2.999994000012,2.1428540816370263
3,Graduate,0,7000000,21700000,14,781,9600000,Approved,9600000,3.09999955714292,2.2604164312066217
1,Not Graduate,0,3500000,12700000,4,350,1800000,Approved,1800000,3.628570391837031,7.055551635804647
0,Graduate,0,5200000,12200000,16,783,5100000,Approved,5100000,2.346153394970501,2.3921563936948247
3,Graduate,1,6300000,19900000,12,770,3100000,Approved,3100000,3.158729657344499,6.41935276795072
2,Not Graduate,0,8400000,28300000,10,822,4400000,Approved,4400000,3.3690472179705693,6.431816720041654
1,Not Graduate,1,7500000,22500000,14,469,4500000,Rejected,4500000,2.9999996000000535,4.999998888889136
2,Graduate,0,3300000,13000000,16,300,3100000,Rejected,3100000,3.939392745638562,4.193547034339666
2,Not Graduate,0,8800000,22400000,14,692,10900000,Approved,10900000,2.54545425619838,2.055045683023332
5,Graduate,0,200000,700000,18,707,200000,Approved,200000,3.4999825000874996,3.4999825000874996
5,Not Graduate,1,8000000,29100000,4,658,4600000,Approved,4600000,3.637499545312557,6.326085581285743
3,Graduate,0,1000000,4000000,6,625,500000,Approved,500000,3.999996000004,7.999984000032
1,Graduate,0,9400000,26700000,10,343,13200000,Rejected,13200000,2.8404252297419967,2.0227271194903698
5,Graduate,0,2100000,7300000,18,358,2200000,Rejected,2200000,3.476188820862466,3.318180309918041
4,Graduate,1,5400000,11500000,20,705,6100000,Approved,6100000,2.1296292352538453,1.8852455925826896
2,Graduate,1,4700000,15100000,8,799,4700000,Approved,4700000,3.2127652738797288,3.2127652738797288
3,Graduate,0,8800000,33700000,12,397,8800000,Rejected,8800000,3.8295450193698843,3.8295450193698843
5,Graduate,0,3200000,12200000,6,493,2100000,Rejected,2100000,3.8124988085941225,5.809521043085217
0,Graduate,1,7200000,21900000,4,446,7600000,Approved,7600000,3.0416662442130216,2.8815785682133463
2,Not Graduate,1,2500000,7200000,16,315,2800000,Rejected,2800000,2.879998848000461,2.5714276530615523
5,Not Graduate,1,6900000,15700000,14,887,4500000,Approved,4500000,2.2753619890779726,3.488888113580419
5,Graduate,1,5700000,20500000,16,429,3900000,Rejected,3900000,3.596490597106913,5.256408908613101
4,Graduate,1,5500000,15100000,18,673,7200000,Approved,7200000,2.7454540462810826,2.0972219309413984
4,Not Graduate,1,9200000,29100000,10,731,5000000,Approved,5000000,3.1630431344518333,5.819998836000233
5,Graduate,1,5700000,11500000,2,732,5300000,Approved,5300000,2.017543505694122,2.1698109113564317
5,Graduate,1,5000000,16400000,14,525,3300000,Rejected,3300000,3.279999344000131,4.969695463728647
4,Not Graduate,0,2300000,5500000,6,343,3200000,Rejected,3200000,2.3913033081289963,1.718749462890793
0,Not Graduate,1,3000000,11000000,16,331,2400000,Rejected,2400000,3.6666654444448517,4.583331423611907
0,Not Graduate,0,7900000,26200000,18,845,6300000,Approved,6300000,3.316455276398066,4.158729498614365
2,Graduate,0,2000000,6200000,16,696,1300000,Approved,1300000,3.099998450000775,4.769227100594538
5,Not Graduate,0,2700000,8700000,14,772,3700000,Approved,3700000,3.2222210288070263,2.351350715851158
3,Graduate,1,6400000,15800000,18,628,5300000,Approved,5300000,2.468749614257873,2.9811315129940543
0,Not Graduate,1,8200000,19100000,2,764,4000000,Approved,4000000,2.329268008625853,4.774998806250299
1,Graduate,0,2800000,6900000,14,553,4200000,Approved,4200000,2.464284834183988,1.6428567517007735
1,Not Graduate,0,8900000,20000000,2,653,9900000,Approved,9900000,2.247190758742611,2.0202018161412307
1,Not Graduate,0,5100000,20000000,4,506,6700000,Approved,6700000,3.9215678585161062,2.985074181332212
3,Graduate,0,2800000,8500000,20,431,2200000,Rejected,2200000,3.0357132015309993,3.8636346074388146
2,Not Graduate,1,6100000,12300000,18,697,3500000,Approved,3500000,2.016393112066703,3.5142847102043686
2,Not Graduate,0,8400000,24500000,6,588,10400000,Approved,10400000,2.9166663194444857,2.35576900425298
1,Not Graduate,0,1600000,5600000,6,846,1200000,Approved,1200000,3.499997812501367,4.666662777781019
5,Graduate,0,4100000,11000000,14,379,5400000,Rejected,5400000,2.682926174896055,2.037036659808026
1,Not Graduate,0,300000,700000,10,745,100000,Approved,100000,2.3333255555814816,6.999930000699993
3,Graduate,0,9600000,34500000,20,523,5300000,Rejected,5300000,3.5937496256510806,6.5094327340692955
4,Graduate,1,8300000,25400000,4,624,5400000,Approved,5400000,3.0602405951517357,4.703702832647624
1,Graduate,0,4600000,16700000,16,407,2800000,Rejected,2800000,3.6304339933839147,5.964283584184434
3,Not Graduate,1,5600000,11600000,12,756,7800000,Approved,7800000,2.0714282015306784,1.4871792965154749
3,Graduate,1,4100000,8300000,16,351,2200000,Rejected,2200000,2.0243897501488415,3.772725557852019
3,Not Graduate,0,3700000,13400000,18,373,2500000,Rejected,2500000,3.6216206428052318,5.359997856000858
4,Not Graduate,1,800000,2400000,2,461,300000,Approved,300000,2.9999962500046875,7.999973333422222
4,Graduate,0,8100000,28100000,12,672,9500000,Approved,9500000,3.469135374180818,2.957894425484797
2,Graduate,1,2700000,9500000,10,434,1800000,Rejected,1800000,3.5185172153639943,5.277774845680641
2,Not Graduate,1,7000000,21400000,12,541,9600000,Rejected,9600000,3.057142420408226,2.22916643446183
3,Not Graduate,1,8100000,29300000,2,413,6400000,Approved,6400000,3.6172835040390736,4.57812428466808
1,Graduate,0,3200000,7600000,4,592,4700000,Approved,4700000,2.374999257812732,1.6170209325487377
4,Not Graduate,1,400000,1400000,10,665,200000,Approved,200000,3.499991250021875,6.999965000174999
1,Graduate,0,7800000,23900000,4,313,10900000,Approved,10900000,3.0641021712689525,2.1926603492972156
0,Not Graduate,0,5800000,19600000,14,673,7200000,Approved,7200000,3.379309762187972,2.7222218441358548
0,Not Graduate,1,2600000,6000000,8,382,1600000,Rejected,1600000,2.3076914201186844,3.7499976562514648
5,Not Graduate,0,5400000,21100000,12,661,5400000,Approved,5400000,3.9074066838135773,3.9074066838135773
3,Graduate,1,600000,1700000,4,576,500000,Approved,500000,2.8333286111189815,3.3999932000136
1,Graduate,0,600000,1200000,14,443,800000,Rejected,800000,1.9999966666722222,1.4999981250023438
5,Graduate,1,9500000,21700000,16,307,9700000,Rejected,9700000,2.2842102858726014,2.237113171431632
4,Graduate,1,1900000,4800000,12,656,1700000,Approved,1700000,2.5263144598344947,2.823527750866029
1,Graduate,1,9800000,21200000,4,885,10800000,Approved,10800000,2.1632650853811137,1.96296278120715
3,Graduate,0,7800000,16600000,20,896,5500000,Approved,5500000,2.128204855358352,3.0181812694215875
5,Not Graduate,0,4900000,14100000,2,802,2700000,Approved,2700000,2.877550433152973,5.22222028806656
3,Graduate,1,8300000,22700000,2,650,5800000,Approved,5800000,2.7349394295253697,3.913792428656478
4,Not Graduate,1,3900000,8900000,10,665,5300000,Approved,5300000,2.2820506969100776,1.6792449661801951
2,Graduate,0,9000000,35700000,12,339,9000000,Rejected,9000000,3.966666225925975,3.966666225925975
1,Not Graduate,0,9600000,32400000,20,447,4700000,Rejected,4700000,3.3749996484375364,6.893615554549882
5,Not Graduate,1,1000000,2400000,18,613,600000,Approved,600000,2.3999976000024,3.9999933333444444
5,Graduate,0,2800000,7200000,16,424,3200000,Rejected,3200000,2.5714276530615523,2.24999929687522
2,Not Graduate,0,8300000,20800000,6,667,6800000,Approved,6800000,2.5060237944549644,3.0588230795848412
4,Not Graduate,1,6900000,18300000,18,715,7500000,Approved,7500000,2.6521735286705033,2.43999967466671
5,Not Graduate,1,3800000,9100000,18,654,3000000,Approved,3000000,2.394736211911523,3.0333323222225594
2,Not Graduate,0,8000000,17800000,20,549,10800000,Rejected,10800000,2.224999721875035,1.6481479955418523
4,Graduate,1,9800000,29700000,4,373,10000000,Approved,10000000,3.0306119356518435,2.96999970300003
0,Graduate,1,2900000,7200000,16,332,3600000,Rejected,3600000,2.482757764566288,1.9999994444445988
4,Graduate,0,7900000,31500000,20,534,6400000,Rejected,6400000,3.987341267425156,4.921874230957151
3,Not Graduate,0,4600000,17900000,8,396,2600000,Rejected,2600000,3.891303501890543,6.884612736687409
2,Graduate,0,1000000,3700000,18,892,500000,Approved,500000,3.6999963000037,7.3999852000296
5,Graduate,0,9000000,21300000,14,602,11000000,Approved,11000000,2.366666403703733,1.9363634603305946
0,Graduate,1,9400000,36100000,10,615,9100000,Approved,9100000,3.8404251233590294,3.967032531095326
5,Graduate,1,7400000,23300000,20,482,6800000,Rejected,6800000,3.1486482231556456,3.426470084342635
0,Graduate,0,6600000,20100000,16,397,8400000,Rejected,8400000,3.0454540840221083,2.3928568579932312
0,Not Graduate,0,1300000,3400000,10,464,1400000,Rejected,1400000,2.6153826035518435,2.42856969387879
0,Graduate,1,1100000,3400000,14,832,1600000,Approved,1600000,3.09090628099429,2.1249986718758302
5,Graduate,0,9200000,34800000,12,802,12500000,Approved,12500000,3.7826082844990996,2.783999777280018
2,Graduate,0,7000000,23900000,18,628,7200000,Approved,7200000,3.414285226530682,3.319443983410558
4,Graduate,0,5100000,18800000,10,694,4100000,Approved,4100000,3.6862737870051396,4.585364735276894
1,Not Graduate,1,3200000,9300000,20,741,2300000,Approved,2300000,2.9062490917971586,4.043476502836303
1,Not Graduate,1,3700000,10900000,14,748,4100000,Approved,4100000,2.945945149744554,2.6585359369424544
5,Graduate,0,3600000,12800000,4,320,2900000,Approved,2900000,3.555554567901509,4.413791581451179
1,Graduate,0,5600000,11700000,10,774,6500000,Approved,6500000,2.089285341199046,1.7999997230769658
0,Not Graduate,1,9500000,32000000,2,500,5600000,Approved,5600000,3.368420698060979,5.714284693877733
4,Not Graduate,0,1500000,4000000,18,706,1700000,Approved,1700000,2.666664888890074,2.3529397923883573
4,Not Graduate,0,7400000,18300000,10,601,6100000,Approved,6100000,2.472972638787481,2.999999508196802
2,Graduate,0,6000000,17400000,16,806,3500000,Approved,3500000,2.8999995166667474,4.971427151020814
0,Graduate,1,3000000,9600000,6,644,3000000,Approved,3000000,3.199998933333689,3.199998933333689
4,Graduate,1,6000000,12900000,14,723,4100000,Approved,4100000,2.149999641666726,3.146340696014464
5,Graduate,1,600000,1500000,12,509,800000,Rejected,800000,2.499995833340278,1.8749976562529296
0,Graduate,0,1800000,6600000,4,898,1400000,Approved,1400000,3.6666646296307612,4.7142823469411805
2,Graduate,1,5500000,12000000,2,567,7000000,Approved,7000000,2.1818177851240392,1.71428546938779
1,Graduate,0,1000000,2100000,6,715,1100000,Approved,1100000,2.0999979000021,1.9090891735552968
2,Not Graduate,1,1700000,3500000,10,854,1700000,Approved,1700000,2.058822318339813,2.058822318339813
1,Graduate,1,3400000,12300000,8,523,2600000,Rejected,2600000,3.6176459948100015,4.730767411243304
1,Graduate,1,9600000,35900000,8,534,5400000,Rejected,5400000,3.7395829437934434,6.64814691700983
0,Not Graduate,1,2600000,7600000,18,470,2900000,Rejected,2900000,2.9230757988170004,2.6206887514866373
1,Graduate,0,1600000,3500000,18,619,1500000,Approved,1500000,2.1874986328133543,2.333331777778815
0,Graduate,1,4300000,12800000,20,572,6100000,Approved,6100000,2.976743493780583,2.0983603117442113
3,Graduate,0,1400000,3500000,16,365,1600000,Rejected,1600000,2.4999982142869897,2.1874986328133543
0,Not Graduate,0,8000000,18000000,16,791,10600000,Approved,10600000,2.2499997187500353,1.6981130473478256
4,Not Graduate,1,5000000,18100000,12,424,6100000,Rejected,6100000,3.619999276000145,2.9672126283257985
5,Graduate,0,4500000,10200000,12,726,4200000,Approved,4200000,2.266666162963075,2.428570850340274
1,Graduate,0,3400000,9900000,2,736,4500000,Approved,4500000,2.9117638494812206,2.1999995111112196
5,Graduate,1,5700000,12800000,14,488,5500000,Rejected,5500000,2.2456136411204137,2.3272723041323085
2,Not Graduate,1,2600000,7600000,10,400,3200000,Rejected,3200000,2.9230757988170004,2.374999257812732
0,Graduate,1,4500000,12200000,20,311,2400000,Rejected,2400000,2.711110508642109,5.08333121527866
2,Not Graduate,1,5100000,16800000,2,504,4400000,Approved,4400000,3.2941170011535292,3.8181809504134203
4,Not Graduate,1,5100000,18600000,20,312,5500000,Rejected,5500000,3.6470581084199787,3.3818175669422605
5,Graduate,1,1700000,6500000,14,587,1500000,Approved,1500000,3.823527162631081,4.3333304444463705
1,Not Graduate,0,5200000,10500000,20,317,5300000,Rejected,5300000,2.0192303809172345,1.981131701673264
4,Not Graduate,0,8400000,29000000,2,463,6700000,Approved,6700000,3.4523805413832687,4.328357562931707
1,Not Graduate,1,9000000,34000000,16,842,5800000,Approved,5800000,3.777777358024738,5.86206795481587
4,Graduate,1,3400000,11800000,20,616,2900000,Approved,2900000,3.470587214533172,4.0689641141503055
1,Not Graduate,0,5400000,19400000,8,800,3000000,Approved,3000000,3.592591927297791,6.46666451111183
0,Graduate,1,700000,2100000,12,813,500000,Approved,500000,2.9999957142918365,4.1999916000168
2,Graduate,0,7600000,24800000,12,564,6700000,Approved,6700000,3.2631574653740176,3.7014919848519425
2,Not Graduate,0,5000000,14700000,12,837,4800000,Approved,4800000,2.9399994120001174,3.0624993619792997
5,Not Graduate,1,2500000,9400000,16,735,1700000,Approved,1700000,3.7599984960006014,5.5294085121126395
4,Not Graduate,1,2000000,5200000,16,724,2800000,Approved,2800000,2.59999870000065,1.857142193877788
5,Not Graduate,0,9000000,23900000,12,658,6100000,Approved,6100000,2.65555526049386,3.9180321445848945
5,Graduate,0,8300000,31800000,16,858,8500000,Approved,8500000,3.831324839599417,3.741176030449879
0,Not Graduate,1,3100000,8500000,8,614,3300000,Approved,3300000,2.7419345993759356,2.5757567952252134
2,Graduate,1,8500000,25600000,16,714,5700000,Approved,5700000,3.0117643515571353,4.4912272822408275
2,Graduate,1,1200000,4600000,20,605,600000,Approved,600000,3.833330138891551,7.666653888910185
4,Graduate,1,2800000,5500000,8,875,3300000,Approved,3300000,1.9642850127553526,1.6666661616163148
5,Graduate,1,2800000,10900000,6,359,3000000,Rejected,3000000,3.892855752551517,3.633332122222626
5,Graduate,1,6500000,24100000,6,441,5200000,Rejected,5200000,3.707691737278194,4.634614493343367
4,Graduate,0,8700000,25200000,18,790,8400000,Approved,8400000,2.8965513912009895,2.9999996428571856
1,Not Graduate,1,5400000,13600000,4,821,5600000,Approved,5600000,2.5185180521262867,2.4285709948980365
2,Not Graduate,0,8600000,33300000,16,375,11200000,Rejected,11200000,3.8720925730124915,2.973214020248748
3,Graduate,0,4700000,9600000,10,545,5300000,Rejected,5300000,2.0425527569036688,1.8113204129584126
5,Not Graduate,1,1100000,3900000,4,891,900000,Approved,900000,3.5454513223169797,4.333328518523868
0,Graduate,0,6400000,14000000,8,486,3700000,Rejected,3700000,2.1874996582031785,3.7837827611397943
0,Graduate,0,4300000,9900000,4,696,2100000,Approved,2100000,2.3023250459709197,4.714283469388824
5,Not Graduate,1,2900000,11100000,4,683,3300000,Approved,3300000,3.827584887039694,3.363635344352926
5,Not Graduate,0,9600000,27100000,8,594,13300000,Approved,13300000,2.8229163726128776,2.037593831759862
3,Not Graduate,1,900000,2500000,20,529,700000,Rejected,700000,2.777774691361454,3.5714234693950435
5,Not Graduate,0,8100000,26300000,4,429,6900000,Approved,6900000,3.2469131793934345,3.811593650493674
0,Not Graduate,1,8800000,25000000,4,400,9400000,Rejected,9400000,2.840908768078549,2.6595741851516825
0,Graduate,0,8800000,17500000,4,848,5100000,Approved,5100000,1.9886361376549844,3.431371876201593
1,Not Graduate,0,6400000,21500000,6,489,8900000,Rejected,8900000,3.3593744750977383,2.415730065648307
2,Graduate,0,2900000,6600000,10,326,3400000,Rejected,3400000,2.275861284185764,1.941175899654147
5,Graduate,0,1600000,6100000,8,663,1200000,Approved,1200000,3.8124976171889893,5.083329097225752
1,Not Graduate,0,1600000,5100000,18,729,900000,Approved,900000,3.187498007813745,5.666660370377366
2,Graduate,1,3100000,10700000,4,398,2000000,Approved,2000000,3.4516117898026484,5.349997325001337
2,Not Graduate,1,5600000,16700000,14,856,5200000,Approved,5200000,2.982142324617442,3.21153784393503
3,Graduate,1,8100000,19900000,20,347,5500000,Rejected,5500000,2.456789820149405,3.618181160330698
3,Not Graduate,0,9100000,19300000,12,696,13300000,Approved,13300000,2.1208788878155067,1.4511277104415254
0,Graduate,1,5500000,17100000,8,353,5200000,Rejected,5200000,3.1090903438017556,3.2884609060652106
1,Graduate,1,9700000,34300000,20,756,14100000,Approved,14100000,3.5360821096822566,2.4326239409486567
4,Graduate,0,2300000,5400000,16,490,2100000,Rejected,2100000,2.347825066163015,2.5714273469393585
1,Not Graduate,1,5600000,18000000,10,531,8400000,Rejected,8400000,3.214285140306225,2.1428568877551326
2,Not Graduate,1,4500000,16600000,4,679,5000000,Approved,5000000,3.6888880691359844,3.3199993360001328
1,Graduate,1,500000,1800000,8,877,600000,Approved,600000,3.5999928000144,2.9999950000083335
0,Graduate,0,4200000,11000000,20,817,6100000,Approved,6100000,2.619046995465001,1.8032783929051814
1,Not Graduate,0,9100000,23300000,18,792,12400000,Approved,12400000,2.5604392790726065,1.879032106529669
4,Graduate,1,3200000,12800000,18,664,2100000,Approved,2100000,3.999998750000391,6.095235192745147
4,Graduate,1,6200000,21300000,16,882,4100000,Approved,4100000,3.4354833168575296,5.195120684116906
3,Not Graduate,1,2500000,7700000,10,768,2600000,Approved,2600000,3.0799987680004928,2.961537322485645
0,Graduate,0,9100000,27100000,12,787,9500000,Approved,9500000,2.9780216507668515,2.852631278670392
3,Graduate,1,500000,900000,12,538,300000,Rejected,300000,1.7999964000072,2.9999900000333333
4,Not Graduate,0,6900000,18000000,8,347,8700000,Rejected,8700000,2.6086952741021343,2.0689652794292783
0,Graduate,1,1800000,5200000,16,317,1300000,Rejected,1300000,2.888887283951509,3.99999692307929
0,Graduate,1,4000000,14500000,2,713,4700000,Approved,4700000,3.6249990937502266,3.0851057265732496
1,Not Graduate,0,3900000,12300000,10,683,2400000,Approved,2400000,3.15384534516786,5.124997864584223
2,Not Graduate,1,8000000,28100000,18,765,8200000,Approved,8200000,3.5124995609375547,3.4268288503867255
5,Graduate,0,900000,3200000,10,803,800000,Approved,800000,3.555551604942661,3.99999500000625
0,Graduate,1,8200000,29700000,6,405,5700000,Rejected,5700000,3.6219507778108806,5.210525401662211
5,Graduate,0,2300000,4900000,4,529,2000000,Rejected,2000000,2.130433856333106,2.4499987750006125
5,Graduate,1,6900000,19400000,6,801,5500000,Approved,5500000,2.811593795421189,3.5272720859505298
3,Not Graduate,0,8800000,30700000,12,707,8000000,Approved,8000000,3.4886359672004583,3.83749952031256
1,Graduate,0,2600000,7200000,8,349,3000000,Rejected,3000000,2.7692297041424214,2.399999200000267
1,Graduate,0,3700000,8700000,20,885,2600000,Approved,2600000,2.351350715851158,3.3461525591720926
2,Graduate,1,6200000,23800000,4,489,3300000,Approved,3300000,3.8387090582727326,7.212119026630598
3,Graduate,1,1000000,2600000,6,341,1100000,Rejected,1100000,2.5999974000026,2.3636342148779863
1,Not Graduate,0,6000000,20000000,12,637,8600000,Approved,8600000,3.3333327777778705,2.325581124932427
1,Not Graduate,1,9100000,31400000,4,304,9600000,Approved,9600000,3.450549071368234,3.270832992621563
1,Graduate,0,1700000,6700000,16,537,1100000,Rejected,1100000,3.9411741522504986,6.090903553724042
5,Not Graduate,1,1700000,4600000,12,503,1200000,Rejected,1200000,2.705880761246611,3.833330138891551
1,Graduate,0,7100000,14300000,12,720,8400000,Approved,8400000,2.0140842233684193,1.7023807497165775
5,Graduate,0,9400000,36800000,10,509,6300000,Rejected,6300000,3.9148932005432764,5.841268914084299
5,Not Graduate,0,6200000,16400000,6,360,6300000,Rejected,6300000,2.645160863683732,2.603174189972351
1,Graduate,0,8300000,31800000,16,818,8500000,Approved,8500000,3.831324839599417,3.741176030449879
1,Graduate,1,8900000,21200000,8,716,7900000,Approved,7900000,2.382022204267168,2.683543964108359
1,Graduate,1,6500000,14800000,12,360,7300000,Rejected,7300000,2.276922726627273,2.0273969825483587
3,Graduate,1,8100000,26700000,10,895,9900000,Approved,9900000,3.2962958893461867,2.696969424548543
2,Not Graduate,0,4900000,13500000,8,328,3400000,Rejected,3400000,2.755101478550719,3.970587067474392
4,Graduate,0,9100000,26600000,2,812,10400000,Approved,10400000,2.923076601859714,2.557692061760379
3,Graduate,1,9000000,33100000,16,456,7100000,Rejected,7100000,3.677777369135848,4.661971174370257
4,Graduate,1,1300000,3900000,16,566,1600000,Approved,1600000,2.9999976923094676,2.437498476563452
1,Not Graduate,0,6700000,25000000,20,598,7000000,Approved,7000000,3.7313427266652646,3.571428061224563
5,Not Graduate,0,3200000,9300000,6,656,4200000,Approved,4200000,2.9062490917971586,2.2142851870749554
0,Not Graduate,0,7500000,28700000,2,895,7200000,Approved,7200000,3.8266661564445124,3.9861105574846447
3,Graduate,0,4900000,12800000,14,653,7200000,Approved,7200000,2.6122443648480886,1.7777775308642318
1,Not Graduate,1,700000,1800000,16,641,900000,Approved,900000,2.5714248979644316,1.999997777780247
2,Graduate,0,6400000,16500000,8,544,5400000,Rejected,5400000,2.5781245971680318,3.055554989712039
0,Not Graduate,1,3900000,14100000,20,811,5300000,Approved,5300000,3.6153836883631567,2.6603768565326686
4,Graduate,0,9700000,26900000,10,460,9300000,Rejected,9300000,2.773195590392207,2.8924728072609884
5,Graduate,1,3600000,12500000,12,795,4800000,Approved,4800000,3.4722212577163174,2.6041661241320573
2,Graduate,1,3400000,10300000,4,745,3900000,Approved,3900000,3.0294108737026844,2.6410249638397527
0,Not Graduate,0,9800000,20100000,16,606,8700000,Approved,8700000,2.0510201988754897,2.3103445620293606
1,Not Graduate,0,5100000,14200000,6,451,5600000,Rejected,5600000,2.7843131795464355,2.535713832908244
4,Graduate,1,5900000,11800000,8,479,3900000,Rejected,3900000,1.9999996610170065,3.0256402498358335
5,Graduate,0,1200000,2400000,14,495,1300000,Rejected,1300000,1.9999983333347222,1.8461524260365954
2,Not Graduate,0,9700000,30200000,14,769,7500000,Approved,7500000,3.1134017408864185,4.026666129777849
5,Not Graduate,1,4700000,11800000,4,639,5500000,Approved,5500000,2.510637763694093,2.1454541553719717
5,Graduate,0,4200000,12500000,18,723,6100000,Approved,6100000,2.9761897675738647,2.0491799919377063
4,Graduate,0,9300000,26100000,16,623,10700000,Approved,10700000,2.8064513111342677,2.4392521084811114
3,Not Graduate,1,5300000,20800000,6,487,4200000,Rejected,4200000,3.924527561409894,4.952379773242911
0,Graduate,0,7600000,30100000,2,743,9600000,Approved,9600000,3.9605257946676584,3.135416340060798
2,Graduate,0,6200000,16900000,12,754,7900000,Approved,7900000,2.7258060119667724,2.139240235539211
0,Graduate,0,8900000,21600000,10,552,11900000,Approved,11900000,2.42696601944202,1.81512589788858
4,Not Graduate,1,7900000,27300000,10,560,10900000,Approved,10900000,3.455695765101802,2.5045869261846856
1,Graduate,1,3500000,10800000,14,632,4200000,Approved,4200000,3.0857134040818845,2.5714279591838194
2,Graduate,0,5300000,16700000,18,339,4100000,Rejected,4100000,3.150942801708905,4.073169738251283
2,Not Graduate,0,1400000,3100000,4,881,1100000,Approved,1100000,2.214284132654191,2.818179256200676
1,Not Graduate,1,9100000,23600000,20,535,4500000,Rejected,4500000,2.5934063084168892,5.2444432790126045
4,Not Graduate,0,4400000,17200000,4,563,2900000,Approved,2900000,3.909090020661359,5.931032437575022
5,Not Graduate,0,2800000,8200000,14,615,2700000,Approved,2700000,2.928570382653435,3.037035912208921
3,Not Graduate,0,1300000,3300000,8,795,1600000,Approved,1600000,2.5384595858003185,2.0624987109383057
4,Graduate,0,8400000,28700000,14,878,8600000,Approved,8600000,3.4166662599206834,3.3372089142780332
5,Graduate,1,5300000,14000000,6,633,6100000,Approved,6100000,2.6415089355643517,2.295081590970231
2,Graduate,0,6000000,13900000,4,533,4100000,Rejected,4100000,2.3166662805556197,3.3902430755504693
2,Not Graduate,1,2100000,6800000,12,795,2400000,Approved,2400000,3.238093696145859,2.8333321527782696
0,Not Graduate,0,4300000,11000000,4,374,4700000,Rejected,4700000,2.5581389399676886,2.3404250339521204
4,Not Graduate,1,7300000,22900000,12,848,4100000,Approved,4100000,3.136985871645771,5.585364491374515
2,Graduate,0,5200000,16200000,12,890,3900000,Approved,3900000,3.1153840162723045,4.153845088757669
3,Graduate,0,4700000,9800000,14,444,3800000,Rejected,3800000,2.085105939339162,2.5789466897508713
4,Graduate,0,7800000,28500000,4,803,9800000,Approved,9800000,3.6538456854043995,2.908162968554799
3,Graduate,1,500000,1900000,18,618,400000,Approved,400000,3.7999924000152,4.749988125029687
1,Not Graduate,1,6000000,20300000,14,845,8700000,Approved,8700000,3.3833327694445385,2.3333330651341306
4,Graduate,0,4800000,10800000,12,833,7100000,Approved,7100000,2.2499995312500976,1.5211265463202048
3,Graduate,1,8900000,19300000,12,767,7700000,Approved,7700000,2.16853908218662,2.5064931809749114
1,Graduate,1,1800000,4000000,16,747,900000,Approved,900000,2.2222209876550068,4.444439506178327
2,Graduate,0,3000000,7000000,4,588,3400000,Approved,3400000,2.3333325555558146,2.058822923875611
4,Not Graduate,0,7700000,24500000,20,582,6500000,Approved,6500000,3.181817768595095,3.7692301893492015
1,Not Graduate,0,8300000,20400000,14,348,4700000,Rejected,4700000,2.4578310291769845,4.340424608420296
4,Not Graduate,0,4200000,9400000,4,726,5500000,Approved,5500000,2.238094705215546,1.709090598347164
4,Graduate,1,8000000,31200000,6,482,5700000,Rejected,5700000,3.899999512500061,5.473683250231009
2,Graduate,1,9400000,30000000,16,565,9000000,Approved,9000000,3.191489022182019,3.333332962963004
1,Graduate,0,800000,2400000,16,872,900000,Approved,900000,2.9999962500046875,2.666663703706996
